station,unit,start,finish,grams,wingband,seconds
WH201,8,14/11/2016 06:29:00,14/11/2016 06:30:30,-00025.00,3791146701026,000090
WH201,7,14/11/2016 06:29:04,14/11/2016 06:30:53,-00039.00,3791146701025,000109
WH201,4,14/11/2016 06:29:24,14/11/2016 06:30:38,-00061.00,3791146741623,000074
WH201,3,14/11/2016 06:29:32,14/11/2016 06:32:29,-00052.00,3791149811116,000177
WH201,6,14/11/2016 06:30:12,14/11/2016 06:30:24,-00002.00,3791146761329,000012
WH201,6,14/11/2016 06:30:30,14/11/2016 06:32:29,-00055.00,3791152911203,000119
WH201,4,14/11/2016 06:30:46,14/11/2016 06:33:28,-00107.00,3791152911501,000162
WH201,2,14/11/2016 06:31:08,14/11/2016 06:32:02,-00019.00,3791143641447,000054
WH201,5,14/11/2016 06:31:21,14/11/2016 06:31:47,-00017.00,3791149811115,000026
WH201,7,14/11/2016 06:31:33,14/11/2016 06:32:31,-00036.00,3791149801113,000058
WH201,5,14/11/2016 06:31:58,14/11/2016 06:32:28,-00026.00,3791143621264,000030
WH201,8,14/11/2016 06:31:58,14/11/2016 06:32:27,-00009.00,3791143651047,000029
WH201,8,14/11/2016 06:32:28,14/11/2016 06:34:10,-00025.00,3791143651047,000102
WH201,5,14/11/2016 06:32:36,14/11/2016 06:35:24,-00068.00,3791149851121,000168
WH201,7,14/11/2016 06:32:41,14/11/2016 06:33:04,-00022.00,3791149811010,000023
WH201,6,14/11/2016 06:33:01,14/11/2016 06:33:48,-00021.00,3791152911203,000047
WH201,2,14/11/2016 06:33:08,14/11/2016 06:33:28,-00008.00,3791149801308,000020
WH201,7,14/11/2016 06:33:15,14/11/2016 06:33:59,-00014.00,3791146741704,000044
WH201,3,14/11/2016 06:33:36,14/11/2016 06:34:04,-00017.00,3791152931502,000028
WH201,4,14/11/2016 06:33:42,14/11/2016 06:33:51,-00008.00,3791143631639,000009
WH201,6,14/11/2016 06:33:49,14/11/2016 06:35:02,-00036.00,3791152911203,000073
WH201,4,14/11/2016 06:34:06,14/11/2016 06:35:11,-00027.00,3791152941403,000065
WH201,8,14/11/2016 06:34:16,14/11/2016 06:34:59,-00008.00,3791143651047,000043
WH201,7,14/11/2016 06:34:18,14/11/2016 06:34:27,-00005.00,3791146741704,000009
WH201,3,14/11/2016 06:34:25,14/11/2016 06:35:48,-00035.00,3791152931502,000083
WH201,7,14/11/2016 06:34:36,14/11/2016 06:34:59,-00050.00,3791146761330,000023
WH201,6,14/11/2016 06:35:04,14/11/2016 06:35:28,-00004.00,3791152911203,000024
WH201,4,14/11/2016 06:35:12,14/11/2016 06:35:40,-00011.00,3791152941403,000028
WH201,8,14/11/2016 06:35:23,14/11/2016 06:35:40,-00004.00,3791149811010,000017
WH201,7,14/11/2016 06:35:27,14/11/2016 06:36:16,-00025.00,3791143631045,000049
WH201,5,14/11/2016 06:35:31,14/11/2016 06:36:34,-00020.00,3791149851121,000063
WH201,2,14/11/2016 06:35:31,14/11/2016 06:36:45,-00036.00,3791143641447,000074
WH201,6,14/11/2016 06:35:57,14/11/2016 06:40:21,-00096.00,3791146741129,000264
WH201,4,14/11/2016 06:35:59,14/11/2016 06:36:23,-00022.00,3791146761529,000024
WH201,3,14/11/2016 06:36:01,14/11/2016 06:36:48,-00029.00,3791152931502,000047
WH201,4,14/11/2016 06:36:26,14/11/2016 06:37:06,-00023.00,3791146761529,000040
WH201,5,14/11/2016 06:36:42,14/11/2016 06:37:04,-00004.00,3791149851121,000022
WH201,7,14/11/2016 06:37:05,14/11/2016 06:37:41,-00032.00,3791149811010,000036
WH201,5,14/11/2016 06:37:07,14/11/2016 06:37:27,-00005.00,3791149851121,000020
WH201,4,14/11/2016 06:37:15,14/11/2016 06:38:31,-00039.00,3791149861014,000076
WH201,8,14/11/2016 06:37:22,14/11/2016 06:39:18,-00042.00,3791146741030,000116
WH201,1,14/11/2016 06:37:33,14/11/2016 06:38:47,-00029.00,3791149811115,000074
WH201,5,14/11/2016 06:37:36,14/11/2016 06:38:02,-00012.00,3791146741701,000026
WH201,2,14/11/2016 06:37:56,14/11/2016 06:39:30,-00041.00,3791152901702,000094
WH201,3,14/11/2016 06:37:59,14/11/2016 06:39:13,-00056.00,3791146701529,000074
WH201,5,14/11/2016 06:38:08,14/11/2016 06:38:34,-00010.00,3791146741701,000026
WH201,7,14/11/2016 06:38:30,14/11/2016 06:40:17,-00090.00,3791149801716,000107
WH201,5,14/11/2016 06:38:46,14/11/2016 06:40:48,-00080.00,3791143651237,000122
WH201,1,14/11/2016 06:39:13,14/11/2016 06:40:48,-00021.00,3791152901701,000095
WH201,3,14/11/2016 06:39:21,14/11/2016 06:40:05,-00028.00,3791146701529,000044
